"individual"	"population "	"allele"	"fragment.length"	"locus"
"p1.1"	"population1"	1	130	"L1"
"p1.1"	"population1"	2	130	"L1"
"p1.2"	"population1"	1	130	"L1"
"p1.2"	"population1"	2	130	"L1"
"p1.3"	"population1"	1	123	"L1"
"p1.3"	"population1"	2	130	"L1"
"p1.4"	"population1"	1	123	"L1"
"p1.4"	"population1"	2	123	"L1"
"p2.1"	"population2"	1	127	"L1"
"p2.1"	"population2"	2	127	"L1"
"p2.2"	"population2"	1	122	"L1"
"p2.2"	"population2"	2	127	"L1"
"p2.3"	"population2"	1	123	"L1"
"p2.3"	"population2"	2	127	"L1"
"p3.1"	"population3"	1	122	"L1"
"p3.1"	"population3"	2	122	"L1"
"p3.2"	"population3"	1	122	"L1"
"p3.2"	"population3"	2	122	"L1"
"p3.3"	"population3"	1	122	"L1"
"p3.3"	"population3"	2	127	"L1"
"p3.4"	"population3"	1	127	"L1"
"p3.4"	"population3"	2	122	"L1"
"p3.5"	"population3"	1	127	"L1"
"p3.5"	"population3"	2	127	"L1"
"p1.1"	"population1"	1	234	"L2"
"p1.1"	"population1"	2	234	"L2"
"p1.2"	"population1"	1	237	"L2"
"p1.2"	"population1"	2	213	"L2"
"p1.3"	"population1"	1	237	"L2"
"p1.3"	"population1"	2	213	"L2"
"p1.4"	"population1"	1	213	"L2"
"p1.4"	"population1"	2	213	"L2"
"p2.1"	"population2"	1	256	"L2"
"p2.1"	"population2"	2	256	"L2"
"p2.2"	"population2"	1	256	"L2"
"p2.2"	"population2"	2	256	"L2"
"p2.3"	"population2"	1	256	"L2"
"p2.3"	"population2"	2	256	"L2"
"p3.1"	"population3"	1	256	"L2"
"p3.1"	"population3"	2	234	"L2"
"p3.2"	"population3"	1	234	"L2"
"p3.2"	"population3"	2	213	"L2"
"p3.3"	"population3"	1	213	"L2"
"p3.3"	"population3"	2	213	"L2"
"p3.4"	"population3"	1	237	"L2"
"p3.4"	"population3"	2	237	"L2"
"p1.1"	"population1"	1	178	"L3"
"p1.1"	"population1"	2	167	"L3"
"p1.2"	"population1"	1	172	"L3"
"p1.2"	"population1"	2	172	"L3"
"p1.3"	"population1"	1	178	"L3"
"p1.3"	"population1"	2	172	"L3"
"p2.1"	"population2"	1	167	"L3"
"p2.1"	"population2"	2	167	"L3"
"p2.2"	"population2"	1	178	"L3"
"p2.2"	"population2"	2	178	"L3"
"p2.3"	"population2"	1	167	"L3"
"p2.3"	"population2"	2	178	"L3"
"p2.4"	"population2"	1	172	"L3"
"p2.4"	"population2"	2	167	"L3"
"p2.5"	"population2"	1	178	"L3"
"p2.5"	"population2"	2	178	"L3"
"p2.6"	"population2"	1	178	"L3"
"p2.6"	"population2"	2	167	"L3"
"p2.7"	"population2"	1	167	"L3"
"p2.7"	"population2"	2	178	"L3"
"p2.8"	"population2"	1	178	"L3"
"p2.8"	"population2"	2	172	"L3"
"p3.1"	"population3"	1	167	"L3"
"p3.1"	"population3"	2	156	"L3"
"p3.2"	"population3"	1	156	"L3"
"p3.2"	"population3"	2	156	"L3"
"p3.3"	"population3"	1	156	"L3"
"p3.3"	"population3"	2	189	"L3"
"p3.4"	"population3"	1	156	"L3"
"p3.4"	"population3"	2	189	"L3"
